TANGGAL,DESKRIPSI,NOMER PART,Qty,Sat,PENGGUNA,No Lamb, HARGA  , JUMLAH 
2023-10-02,SEAL REM NKR71 40493,73 MOTOR,12,pcs, N 8235 UG ,124,"10,000","120,000"
2023-10-02,Minyak Rem PRESTONE,DOT 3,0.3,pcs, N 8235 UG ,124,"86,250","25,875"
2023-10-02,Air Filter NMR / ASTRA,18-98321 413-A,1,pcs, N 8235 UG ,124,"220,000","220,000"
2023-10-02,FUEL FILTER DMAX I6-98159 693-0,ASTRA ISUZU,1,lsn, N 8235 UG ,124,"75,000","75,000"
2023-10-02,BAUT RODA NKR71 RR-RH (IBK),73 MOTOR,1,pcs, N 8235 UG ,124,"60,000","60,000"
2023-10-02,BAUT RODA NKR71 RR-LH (IBK),73 MOTOR,3,pcs, N 8235 UG ,124,"60,000","180,000"
2023-10-02,Oil Hydraulic MEDITRAN S10W,SAE 10 W,0.5,ltr, N 8235 UG ,124,"29,000","14,500"
2023-10-02,Pir Extra Ory No.1,73 motor,1,pcs, N 8448 UF ,126,"380,000","380,000"
2023-10-02,SUNDUK PIR BLKG CANTER,73 MOTOR,1,pcs, N 8448 UF ,126,"40,000","40,000"
2023-10-02,PIR EXTRA NKR71 NO.1,73 MOTOR,1,pcs, N 8427 BF ,311,"260,000","260,000"
2023-10-02,SUNDUK PIR BLKG CANTER,73 MOTOR,1,pcs, N 8427 BF ,311,"40,000","40,000"
2023-10-02,SEAL REM NKR71 40493,73 MOTOR,4,pcs, N 8303 UH ,110,"10,000","40,000"
2023-10-02,SEAL RODA BELAKANG DALAM NMR71,MAKMUR MOTOR,1,pcs, N 8303 UH ,110,"65,000","65,000"
2023-10-02,Minyak Rem PRESTONE,DOT 3,0.6,pcs, N 8303 UH ,110,"86,250","51,750"
2023-10-02,Oil Filter NKR & NMR/ Astra,16-97247 514-0,1,pcs, N 9614 UH ,119,"94,575","94,575"
2023-10-02,Oil Engine MEDITRAN SX,15W-40,9,ltr, N 9614 UH ,119,"32,100","288,900"
2023-10-02,Ban Luar 7.50-16 BS/BSN,T1202-HNJ0223,1,set, N 9429 UG ,303,"2,175,000","2,175,000"
2023-10-02,Ban Luar 7.50-16 BS/BSN,T8901-HNJ0723,1,set, N 9429 UG ,303,"2,175,000","2,175,000"
